"SMTPPro - Email Log","SMTPPro - E-Mail-Log"
"SMTP Pro Email Settings","SMTP Pro E-Mail-Einstellungen"
"Email Log","E-Mail-Log"
"Aschroder Extensions","Aschroder Extensions"
"SMTP Pro","SMTP Pro"
"General Settings","Allgemeine Einstellungen"
"<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>.","<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro E-Mail Erweiterung</span> </div> Konfigurieren Sie hier Ihre SMTP-Verbindung. Sollten Sie Fragen haben oder Hilfe benötigen, besuchen Sie <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>."
"Email Connection","E-Mail-Verbindung"
"Google Apps Email Address","Google Apps E-Mail-Adresse"
"Google Apps Password","Google Apps Passwort"
"Input your Google Apps or Gmail username and password here. For configuration recommendations please see the guide at <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Geben Sie Benutzername und Passwort für Ihr Konto bei Google Apps oder Gmail ein. Tipps zur Konfiguration finden Sie unter<a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"SendGrid Username","SendGrid Benutzername"
"SendGrid Password","SendGrid Passwort"
"Input your SendGrid username and password here. For more information visit <a href='http://sendgrid.com' target='_blank'>SendGrid</a>","Geben Sie Benutzername und Passwort Ihres SendGrid-Kontos ein. Für weitere Informationen besuchen Sie <a href='http://sendgrid.com' target='_blank'>SendGrid</a>"
"Amazon SES Access Key","Amazon SES Access Key"
"Amazon SES Secret Key","Amazon SES Secret Key"
"Amazon SES support in SMTP Pro is limited and best suited to development and testing purposes. For a full integration with region selection, error/bounce logging and send statistics please see the premium extension: <a href='http://magesend.com' target='_blank'>MageSend</a>","Die Unterstützung für Amazon SES in SMTP Pro ist begrenzt und am besten für Entwicklungs- und Testzwecke geeignet. Für eine vollständige Integration mit Regionenauswahl, Fehlerlogging und Statistiken nutzen Sie die Premium-Version: <a href='http://magesend.com' target='_blank'>MageSend</a>"
"Authentication","Anmeldung"
"Username","Benutzername"
"Password","Passwort"
"Host","Host"
"Port","Port"
"SSL Security","SSL-Sicherheit"
"Custom SMTP servers can be configured in this section. For more information about these configuration options and troubleshooting advice please see <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","In diesem Abschnitt lassen sich eigene SMTP-Server konfigurieren. Weitere Informationen zu den einzelnen Optionen sowie Hinweise zur Fehlersuche finden Sie unter <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"Logging and Debugging","Logging and Debugging"
