"SMTPPro - Email Log","SMTPPro - Registro de Correos"
"SMTP Pro Email Settings","Configuraci&oacute;n de Correo de SMTP Pro"
"Email Log","Registro de Correos"
"Aschroder Extensions","Extensiones Aschroder"
"SMTP Pro","SMTP Pro"
"General Settings","Configuraci&oacute;n General"
"<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>.","<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>Extensi&oacute;n de Correo SMTP Pro</span> </div> Configure su conexi&oacute;n SMTP aqu&iacute;. Si tienes alguna pregunta o te gustar&iacute;a obtener ayuda, por favor visita <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>."
"Email Connection","Conexi&oacute;n de Correo"
"Google Apps Email Address","Direcci&oacute;n de Correo de Google Apps"
"Google Apps Password","Contrase&ntilde;a de Google Apps"
"Input your Google Apps or Gmail username and password here. For configuration recommendations please see the guide at <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Ingresa tu usuario y contrase&ntilde;a de Google Apps o Gmail aqu&iacute;. Para recomendaciones de configuraci&oacute;n, por favor revisa la gu&iacute;a en <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"SendGrid Username","Usuario de SendGrid"
"SendGrid Password","Contrase&ntilde;a de SendGrid"
"Input your SendGrid username and password here. For more information visit <a href='http://sendgrid.com' target='_blank'>SendGrid</a>","Ingresa tu usuario y contraseña de SendGrid aqu&iacute;. Para m&aacute;s informaci&oacute;n, visita <a href='http://sendgrid.com' target='_blank'>SendGrid</a>"
"Amazon SES Access Key","Llave de Acceso de Amazon SES"
"Amazon SES Secret Key","Llave Secreta de Amazon SES"
"Amazon SES support in SMTP Pro is limited and best suited to development and testing purposes. For a full integration with region selection, error/bounce logging and send statistics please see the premium extension: <a href='http://magesend.com' target='_blank'>MageSend</a>","El soporte para Amazon SES en SMTP Pro es limitado y es m&aacute;s adecuado para prop&oacute;sitos de desarrollo y pruebas. Para una integraci&oacute;n completa con selecci&oacute;n de regi&oacute;n, registro de errores/rebotes, y env&iacute;o de estad&iacute;sticas, por favor revisa la extensi&oacute;n premium: <a href='http://magesend.com' target='_blank'>MageSend</a>"
"Authentication","Autenticaci&oacute;n"
"Username","Usuario"
"Password","Contrase&ntilde;a"
"Host","Host"
"Port","Puerto"
"SSL Security","Seguridad SSL"
"Custom SMTP servers can be configured in this section. For more information about these configuration options and troubleshooting advice please see <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Los servidores SMTP personalizados se pueden configurar en esta secci&oacute;n. Para m&aacute;s informaci&oacute;n sobre estas opciones de configuraci&oacute;n y consejos para resoluci&oacute;n de problemas, por favor revisa <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"Logging and Debugging","Registro y Depuraci&oacute;n"
"Please only use these settings if you are a software developer or server admin.","Por favor, usa estas configuraciones solo si eres desarrollador de software o administrador de servidores."
"Log Emails","Registrar Correos"
"This will log all outbound emails. View from System->Tools->SMTPPro - Email Log.","Esto registrar&aacute; todos los correos salientes. M&iacute;ralos desde Sistema->Herramientas->SMTPPro - Registro de Correos."
"Clean Email Logs","Limpiar Registro de Correos"
"If this is set to yes, old entries will be deleted from email log. Cron is required and log cleaning must be enabled in system/log/enabled for this to work.","Si se ajusta esto a S&iacute;, las entradas antiguas se borrar&aacute;n del registro de correos. Se requiere Cron y que la limpieza de registros est&eacute; activada en Sistema/Registro/Activado para que esto funcione."
"Email Log Days Kept","D&iacute;as a mantener el Registro de Correos"
"Enable Debug Logging","Activar Registro de Depuraci&oacute;n"
"If yes, a log file will be written with debug information.","Si s&iacute;, un archivo de registros se escribir&aacute; con informaci&oacute;n de depuraci&oacute;n."
"Save settings before running this test.","Guarda la configuraci&oacute;n antes de ejecutar esta prueba."
"Compatible Email Services","Servicios de Correo Compatibles"
"Running SMTP Pro Self Test","Ejecutando Auto-Prueba de SMTP Pro"
"SMTP Pro Self Test Results","Resultados de Auto-Prueba de SMTP Pro"
"Extension disabled, cannot run test.","Extensi&oacute;n desactivada, no se pudo ejecutar la prueba."
"Checking config re-writes have not clashed.","Verificando que los re-writes de la configuraci&oacute;n no tengan conflictos."
""Detected overwrite conflict: %s","Detectado un conflicto de sobreescritura: %s"
"Raw connection test for SMTP options.","Prueba de conexi&oacute;n bruta para las opciones SMTP."
"Complete","Completo"
"Failed to connect to SMTP server. Reason: ","Fall&oacute; la conexi&oacute;n al servidor SMTP. Raz&oacute;n: "
"This extension requires an outbound SMTP connection on port: ","Esta extensi&oacute;n requiere una conexi&oacute;n de salida SMTP en el puerto: "
"Connection to Host SMTP server successful","Conexi&oacute;n exitosa al Host SMTP"
"Skipping raw connection test for non-SMTP options.","Omitiendo prueba de conexi&oacute;n bruta para opciones no-SMTP."
