"SMTPPro - Email Log","SMTPPro - Messages envoyés"
"SMTP Pro Email Settings","SMTP Pro Paramètres d'envoi"
"Email Log","Messages envoyés"
"Aschroder Extensions","Aschroder Extensions"
"SMTP Pro","SMTP Pro"
"General Settings","Réglages Généraux"
"<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>.","<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>."
"Email Connection","Connexion Mail"
"Google Apps Email Address","Adresse Mail Google Apps"
"Google Apps Password","Mot de passe Google Apps"
"Input your Google Apps or Gmail username and password here. For configuration recommendations please see the guide at <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Input your Google Apps or Gmail username and password here. For configuration recommendations please see the guide at <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"SendGrid Username","Nom d'utilisateurSendGrid"
"SendGrid Password","Mot de passe SendGrid"
"Input your SendGrid username and password here. For more information visit <a href='http://sendgrid.com' target='_blank'>SendGrid</a>","Input your SendGrid username and password here. For more information visit <a href='http://sendgrid.com' target='_blank'>SendGrid</a>"
"Amazon SES Access Key","Clé d'accès Amazon SES"
"Amazon SES Secret Key","Clé secrete Amazon SES"
"Amazon SES support in SMTP Pro is limited and best suited to development and testing purposes. For a full integration with region selection, error/bounce logging and send statistics please see the premium extension: <a href='http://magesend.com' target='_blank'>MageSend</a>","Amazon SES support in SMTP Pro is limited and best suited to development and testing purposes. For a full integration with region selection, error/bounce logging and send statistics please see the premium extension: <a href='http://magesend.com' target='_blank'>MageSend</a>"
"Authentication","Authentification"
"Username","Nom d'utilisateur"
"Password","Mot de passe"
"Host","Hote"
"Port","Port"
"SSL Security","Sécurité SSL"
"Custom SMTP servers can be configured in this section. For more information about these configuration options and troubleshooting advice please see <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Custom SMTP servers can be configured in this section. For more information about these configuration options and troubleshooting advice please see <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"Logging and Debugging","Journal d'erreur et débogage"
"Please only use these settings if you are a software developer or server admin.","S'il vous plaît utilisez uniquement ces paramètres si vous êtes un développeur de logiciel ou Admin Serveur."
"Log Emails","Messages envoyés"
"This will log all outbound emails. View from System->Tools->SMTPPro - Email Log.","Cela va enregistrer tous les e-mails sortants. vue depuis Systéme->Outils->SMTPPro - Messages envoyés."
"Clean Email Logs","Nettoyer les journaux Email"
"If this is set to yes, old entries will be deleted from email log. Cron is required and log cleaning must be enabled in system/log/enabled for this to work.","If this is set to yes, old entries will be deleted from email log. Cron is required and log cleaning must be enabled in system/log/enabled for this to work."
