"SMTPPro - Email Log","SMTPPro - Email Log"
"SMTP Pro Email Settings","Instellingen SMTP Pro Email"
"Email Log","Email Log"
"Aschroder Extensions","Aschroder Extensions"
"SMTP Pro","SMTP Pro"
"General Settings","Algemene Instellingen"
"<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>.","<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configureer hieronder uw uitgaande mail verbinding. Voor vragen en hulp kunt u terecht bij <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>."
"Email Connection","Uitgaande mail verbinding"
"Google Apps Email Address","Google Apps Email Adres"
"Google Apps Password","Google Apps Wachtwoord"
"Input your Google Apps or Gmail username and password here. For configuration recommendations please see the guide at <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Vul hier uw Google Apps of Gmail gegevens in (gebruikersnaam en wachtwoord). Voor aanbevolen instellingen ga naar de handleiding op <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"SendGrid Username","SendGrid Gebruikersnaam"
"SendGrid Password","SendGrid Wachtwoord"
"Input your SendGrid username and password here. For more information visit <a href='http://sendgrid.com' target='_blank'>SendGrid</a>","Vul uw SendGrid gebruikersnaam en wachtwoord hier in. Voor meer informatie kunt u terecht op <a href='http://sendgrid.com' target='_blank'>SendGrid</a>"
"Amazon SES Access Key","Amazon SES Toegangssleutel"
"Amazon SES Secret Key","Amazon SES Privé sleutel"
"Amazon SES support in SMTP Pro is limited and best suited to development and testing purposes. For a full integration with region selection, error/bounce logging and send statistics please see the premium extension: <a href='http://magesend.com' target='_blank'>MageSend</a>","Amazon SES ondersteuning is beperkt en het meest geschikt voor ontwikkelings- en testdoeleinden. Voor een volledige integratie inclusief regio selection, fout en teruggestuurde mail logs en verzendingsstatistieken is er de proffessionele extensie: <a href='http://magesend.com' target='_blank'>MageSend</a>"
"Authentication","Authenticatie"
"Username","Gebruikersnaam"
"Password","Wachtwoord"
"Host","Host"
"Port","Poort"
"SSL Security","SSL Beveiliging"
"Custom SMTP servers can be configured in this section. For more information about these configuration options and troubleshooting advice please see <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Overig SMTP servers kunnen in deze sectie worden geconfigureerd. Voor meer informatie over deze configuratie opties en adviezen voor probleemoplossing verwijzen we naar <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"Logging and Debugging","Log en Debug instellingen"
"Please only use these settings if you are a software developer or server admin.","Gebruik deze instellingen uitsluitend als u een ontwikkelaar of server administrator bent."
"Log Emails","Log Emails"
"This will log all outbound emails. View from System->Tools->SMTPPro - Email Log.","Dit zal alle uitgaande emails in loggen. Het log is te bekijken via Systeem->Hulpmiddelen->SMTPPro."
"Clean Email Logs","Opschonen van Email Logs"
	"If this is set to yes, old entries will be deleted from email log. Cron is required and log cleaning must be enabled in system/log/enabled for this to work.","Als dit is ingeschakeld worden oude vermeldingen verwijderd uit de email log. Hiervoor is de Cron nodig en de instelling Log opschonen moet ingeschakeld zijn onder Geavanceerd->Systeem->Log opschonen."
"Email Log Days Kept","Aantal dagen te behouden in het Email log"
"Enable Debug Logging","Schakel debug logs in"
"If yes, a log file will be written with debug information to file var/log/aschroder_smtppro.log.","Indien ingeschakeld, zal er een file geschreven worden met debug informatie."
"Save settings before running this test.","Sla de instellingen op voordat deze test wordt uitgevoerd."
"Compatible Email Services","Vergelijkbare Email Services"
"Running SMTP Pro Self Test","De SMTP Pro Zelftest uitvoeren"
"SMTP Pro Self Test Results","SMTP Pro Zelftest Resultaten"
"Extension disabled, cannot run test.","Extensie is uitschakeld. Kan de test niet uitvoeren."
"Checking config re-writes have not clashed.","Er wordt gecontroleerd of er conflicten zijn in de herschreven configuratie."
"Detected overwrite conflict: %s","Conflict gedetecteerd in overschrijvings configuratie: %s"
"Raw connection test for SMTP options.","Ruwe connectie test voor SMTP instellingen."
"Complete","Compleet"
"Failed to connect to SMTP server. Reason: ","Kan geen verbinding maken met de STMP server. Reden: "
"This extension requires an outbound SMTP connection on port: ","Deze extensie heeft een uitgaande SMTP verbinding op poort: "
"Connection to Host SMTP server successful","Verbinding met de SMTP server geslaagd"
"Skipping raw connection test for non-SMTP options.","De ruwe connectie test voor non-STMP instellingen wordt overgeslagen."
"Test Email From SMTP Pro Magento Extension","Test Email van STMP Pro Magento Extensie"
"Actual email sending test...","Test om een email te versturen..."
" from: "," van: "
"Test email was sent successfully","De test email is verzonden"
"Failed to find transport for test.","Er is geen transport gevonden voor de test"
"Unable to send test email.","Kan de test email niet verzenden."
"Exception message was: %s","Het foutbericht was: %s"
"Please check the user guide for frequent error messages and their solutions.","Check het gebruikershandboek voor de meest voorkomende foutmeldingen en oplossingen."
