"SMTP Pro Email General Settings","SMTP Pro Email - Configurações Gerais"
"If you are experiencing problems with this extension please run the self diagnosing test by clicking the button below. The module will log what it is doing if you enable logging, this can be useful to determine problems aswell. If you have any questions or would like any help please visit &lt;a href='http://aschroder.com' target='_blank'&gt;ASchroder.com&lt;/a&gt;.","Se você estiver experimentando problemas com essa extension, por favor rode o teste de autodiagnóstico clicando no botão abaixo. O módulo irá gravar o que estiver fazendo se você ativar a gravação de log; isso pode ser útil para determinar problemas. Caso tenha qualquer dúvida ou precise de ajuda por favor visite <a href='http://aschroder.com' target='_blank'>ASchroder.com</a>."
"Choose extension option","Escolha a opção da extension"
"This will determine if the extension uses the simple Google Apps/Gmail configuration, The advanced SMTP configuration or disables the extension completely.","Isso irá determinar se a extension usa a configuração simples para Google Apps/Gmail, a configuração avançada de SMTP ou desabilita a extension completamente."
"Use Store Email Addresses for Reply-to","Usar endereços de email da loja para Reply-to"
"Development Mode options","Opções de Modo de Desenvolvimento"
"Development Mode disabled","Modo de Desenvolvimento desabilitado"
"Redirect to contact form email","Redirecionar para o email do formulário de email"
"Supress all emails","Suprimir todos os emails"
"These options can be used during development and testing to control the destination of all emails, or to stop Magento emails sending. (Note: if extensions do not send emails 'the magento way' then they will not be supressed)","Essas opções podem ser usadas durante o desenvolvimento e teste para controlar o destino de todos os emails, ou para parar o envio de emails do Magento. (Nota: se extensions não estiverem enviando emails da 'maneira Magento' então estes não serão suprimidos)"
"Log all messages","Gravar log de todas as mensagens"
"Email Log","Log de Email"
"This will log all outbound emails to the table smtppro_email_log and allow viewing within the admin interface from System->Tools->Email Log.","Essa configuração irá gravar em log todos os emails disparados para a tabela smtppro_email_log e permitirá visualizar no admin em Sistema->Ferramentas->Log de Email."
"Run Self Test","Rodar autoteste"
"This test will ensure the configuration in your Google Apps/ Gmail OR SMTP section are working. You have to save the settings from either of these sections before running this test.","Isso irá garantir que a configuração em sua seção Google Apps / Gmail OU SMTP estão funcionando. Você tem que salvar as configurações de ambas as seções antes de rodar este teste."
"SMTP Pro Email Google Apps/Gmail Settings","Configurações SMTP Pro Email / Google-Apps/ Gmail"
"SMTP Pro Email SMTP Settings","Configurações SMTP - SMTP Pro Email"
"Authentication","Autenticação"
"None (ignore username/password)","Nenhuma (ignorar login/senha)"
"This will determine if and how you authenticate with your SMTP server. If you choose no authentication then the username and password below are not used.","Essa configuração irá determinar se e como você se autentica ao servidor SMTP. Se você não escolher autenticação, então o login e a senha abaixo não serão usados."
"Username","Nome de usuário"
"If you use Authentication for your SMTP server this is the username used to authenticate.","Se você usa Autenticação para o seu servidor SMTP, esse é o login usado para autenticar."
"If you use Authentication for your SMTP server this is the password used to authenticate.","Se você usa Autenticação para seu servidor SMTP, essa é a senha usada para autenticar."
"This is the SMTP server hostname you would like to send your emails through. This is required.","Esse é o hostname do servidor SMTP a partir do qual você gostaria de enviar emails. Isso é obrigatório."
"This is the port on the SMTP server you connect to. The value is optional, it defaults to 25 for none and TLS or 465 for SSL.","Essa é a porta para se conectar no servidor SMTP. O valor é opcional, seu padrão é 25 para nenhum e TLS, ou 465 para SSL."
"SSL Security","Segurança SSL"
"No SSL","Sem SSL"
"This will determine if any SSL security should be used to connect to your SMTP server.","Essa configuração irá determinar se alguma segurança SSL deve ser usada para conectar ao seu servidor SMTP."
"TP server you connect to. The value is optional, it defaults to 25 for none and TLS or 465 for SSL.","IP do servidor para se conectar. O valor é opcional, seu padrão é 25 para nenhum ou TLS, ou 465 para SSL."
"This will determine which configuration is used; Gmail/Google Apps, SMTP or the new experimental Amazon SES.","Isso irá determinar qual configuração será usada; Gmail/Google Apps, SMTP ou a nova e experimental Amazon SES."
"Port","Porta"
"SMTP Pro Email Amazon SES Settings (experimental)","Configurações SMTP Pro Email para Amazon SES (experimental)"
"These settings are for experimental use of the Amazon AWS SES service. This should not be used on a production server yet, but please do try it out and let me know how you get on.","Essas configurações são para uso experimental do serviço Amazon AWS SES. Isso não deve ser usado em um servidor de produção ainda, mas por favor faça um teste e me informe como foi."
"Access Key","Chave de Acesso"
"Secret Key","Chave Secreta"
"If yes, a log file will be written with debug information to file var/log/aschroder_smtppro.log.","If yes, a log file will be written with debug information to file var/log/aschroder_smtppro.log."
