"SMTPPro - Email Log","SMTPPro - почтовые логи"
"SMTP Pro Email Settings","Настройка почты в SMTP Pro"
"Email Log","Почтовые логи"
"Aschroder Extensions","Расширения Aschroder"
"SMTP Pro","SMTP Pro"
"General Settings","Общие настройки"
"<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>SMTP Pro Email Extension</span> </div> Configure your SMTP connection below. If you have any questions or would like any help please visit <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>.","<div style='background-color: #efefef;margin-bottom: 10px;height: 40px;'> <img style='float:left;width: 150px;' src='http://www.aschroder.com/smtppro-logo.png' /> <span style='float:left;font-size: 20px; margin:10px;'>Настройка почты в SMTP Pro</span> </div> Настройте ваше SMTP-соединение ниже. Если у вас есть вопросы или вам нужна помощь - пожалуйста, зайдите на сайт <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>."
"Email Connection","Подключение по электронной почте"
"Google Apps Email Address","Адрес электронной почты Google Apps"
"Google Apps Password","Пароль Google Apps"
"Input your Google Apps or Gmail username and password here. For configuration recommendations please see the guide at <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Введите имя пользователя и пароль вашей учётной записи Google Apps или Gmail. За рекомендациями по настройке, пожалуйста, смотрите руководство на сайте <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
"SendGrid Username","Имя пользователя SendGrid"
"SendGrid Password","Пароль SendGrid"
"Input your SendGrid username and password here. For more information visit <a href='http://sendgrid.com' target='_blank'>SendGrid</a>","Введите имя пользователя и пароль вашей учётной записи SendGrid. За дополнительной информацией обращайтесь на сайт <a href='http://sendgrid.com' target='_blank'>SendGrid</a>"
"Amazon SES Access Key","Ключ доступа в Amazon SES"
"Amazon SES Secret Key","Секретный ключ в Amazon SES"
"Amazon SES support in SMTP Pro is limited and best suited to development and testing purposes. For a full integration with region selection, error/bounce logging and send statistics please see the premium extension: <a href='http://magesend.com' target='_blank'>MageSend</a>","Поддержка Amazon SES в расширении SMTP Pro ограничена и лучше всего подходит для целей разработки и тестирования. Для полной интеграции с выбором региона, ведением логов ошибок/отказов и отправкой статистики, пожалуйста, см. премиум расширение: <a href='http://magesend.com' target='_blank'>MageSend</a>"
"Authentication","Аутентификация"
"Username","Имя пользователя"
"Password","Пароль"
"Host","Хост"
"Port","Порт"
"SSL Security","Безопасность SSL"
"Custom SMTP servers can be configured in this section. For more information about these configuration options and troubleshooting advice please see <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>","Пользовательские SMTP-серверы могут быть сконфигурированны в этой секции. Дополнительную информацию по конфигурационным опциям и рекомендациям по устранению неполадок смотрите сайте <a href='http://magesmtppro.com' target='_blank'>magesmtppro.com</a>"
